¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Mujer,Entre 26 y 35 años,Otra provincia,Mendoza,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 4:50:27 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Cba,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 4:54:20 PM"
Mujer,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Emp. Administrativa ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"No estoy de acuerdo. Si lo hubiesen respetado desde el principio,  estaria todo menos complicado.  ",,"6/28/2020, 5:56:47 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Jujuy,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo","No tengo los recursos necesarios para realizar las clases online, o sea que perdi el año. Y no puedo trabajar por cuarentena y soy persona de riesgo",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"Que los hdp de los porteñitos ni se les ocurra salir de bs as para refugiarse en provincias donde el bicho no haya llegado o sean leves sus contagios, y que empiezan a cuidarse esos bldos",,"6/28/2020, 6:24:49 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Jujuy,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Es complicado realizar la carrera en modo virtual,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Se podria propagar el virus mas rapido,,"6/28/2020, 7:40:09 PM"
Mujer,Entre 56 y 65 años,Otra provincia,rio negro,La cuarentena ya no es tan necesaria,No trabajo ni estudio,ama de casa,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"no todas estan mal ademas aprendimos a cuidarnos,",,"6/28/2020, 8:15:07 PM"
Mujer,Más de 66 años,Otra provincia,Tucuman,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 9:35:24 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:05:43 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Pienso que solo los esenciales porque mientras mas circulacion haya mas contagio va  a haber ,,"6/28/2020, 11:04:32 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 11:22:34 PM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:03:21 AM"
Mujer,Entre 56 y 65 años,Otra provincia,San Juan ,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:11:43 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo","esta todo cerrado ,  no hay colegio nada de nada , no se puede hacer nada ,,, tal vez estudiaria por internet ..",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"no, mejor cerrar la circulacion entre provincias y las fronteras tambien!! es muy necesario sino no terminamos mas la cuarentena , hay que cerrar todo y entender que es muy necesario, la gente no cumple y por culpa de esa gente, nos vemos perjudicados unos pocos, así no terminamos mas ¡horrible!!",,"6/29/2020, 12:15:22 AM"
Mujer,Entre 26 y 35 años,Otra provincia,Corrientes,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Perdí mi trabajo de domestica,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Dentro de cada provincia esta bien,,"6/29/2020, 12:41:44 AM"
Mujer,Entre 36 y 45 años,Otra provincia,Mendoza,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No estoy de acuerdo que todavía se puede circular entre provincias porque todavía el virus está circulando demasiado tantos cuidados que al final si se empieza a andar por todas las provincias no va a tener sentido tanto sacrificio,,"6/29/2020, 1:19:28 AM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 3:12:34 AM"
Mujer,Menor de 18 años,Otra provincia,arrecifes,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 11:49:03 AM"
Mujer,Más de 66 años,Otra provincia,Santa Fe,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Es todo verso yo pregunto como puede ser que el virus tenga dia y horario para atacar!!!!! Que se pongan de acuerdo para mentir y nos dejen vivir tranquilos,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,En los controles sean mas concisos y no hagan pavadas,,"6/29/2020, 11:49:51 AM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 11:50:39 AM"
Mujer,Entre 18 y 25 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:06:55 PM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Poder empezar a trabajar.,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Que puedan circular las provincias que ya están en fase 5,,"6/29/2020, 3:32:29 PM"
Mujer,Entre 26 y 35 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 4:34:12 PM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Estudio,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Me parece bien. Mientras las personas toman una verdadera responsabilidad ,,"6/29/2020, 8:09:58 PM"
Mujer,Entre 26 y 35 años,Otra provincia,Córdoba ,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Estudio.. pero desde que se inició la cuarentena el municipio de donde vivo dejo de darnos becas. Y eso es muy malo porque aún sin ir a la Universidad necesitamos comprar material y pagar para poner crédito al celular ya q muchos dependemos de eso. A la intendente le importa un comino lo que nos pasa.,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Que se hagan controles muy estrictos,,"6/29/2020, 8:16:32 PM"
