¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 3:05:46 PM"
Hombre,Más de 66 años,Otra provincia,Rio negro,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 4:12:16 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Esta bien,,"6/28/2020, 4:16:07 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",Bailo folclore ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Debe ser estrictamente controlada,,"6/28/2020, 4:24:59 PM"
Hombre,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 5:09:20 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Córdoba ,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",Permisionario de taxi,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Se podría hacer pero en cada entrada disponer de un hotel y poner el ingresante en cuarentena ,,"6/28/2020, 5:47:13 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,Mendoza,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Soy Jubilado.Municipal Quenuma,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,No esto de acuerdo,,"6/28/2020, 6:17:18 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Mendoza,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"La circulación solo entre provincias limítrofes , exceptuando al AMBA (considerándola como una provincia)  hasta tanto no disminuya en forma considerable los contagios.",,"6/28/2020, 6:26:53 PM"
Hombre,Más de 66 años,Otra provincia,Santa fe,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 6:38:03 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Comerciante,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Estoy de acuerdo.,,"6/28/2020, 7:15:55 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 7:35:18 PM"
Hombre,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Consultor asesor de empresas,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Ya comprendimos y aprendimos sobre las precauciones a tener para evitar contagios ,,"6/28/2020, 7:40:02 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 7:49:55 PM"
Hombre,Entre 56 y 65 años,Otra provincia,san luis,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,JUBILADO,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"ES NECESARIO, SI EL VIRUS ESTÁ CONTROLADO",,"6/28/2020, 7:59:02 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Vago  aclaro y el estado no me da de comer tampoco recibiria limosna me gusta ser Libre.,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Muy bien.,,"6/28/2020, 8:22:08 PM"
Hombre,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 8:41:03 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Es Necesario,,"6/28/2020, 8:51:09 PM"
Hombre,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 9:25:57 PM"
Hombre,Entre 46 y 55 años,Otra provincia,Córdoba,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",Falta insumos no podemos viajar ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Con control que se pueda viajar,,"6/28/2020, 9:36:11 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Santa fe,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",Reparto de panificación,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Contaminación total,,"6/28/2020, 9:53:07 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Metalurgico 66 años esperando  que el anses atienda así puedo jubilarme,,Cuando esto termine si hoy espeligroso,,"6/28/2020, 10:04:41 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Pensionado ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:42:18 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Tierra del Fuego,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",No tengo mucha actividad  trabajando,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Habría que tener mucho cuidado,,"6/28/2020, 11:07:00 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Tucuman,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 11:14:23 PM"
