¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Hombre,Entre 46 y 55 años,Otra provincia,Resistencia Chaco,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",Docente,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 2:58:00 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,necesaria. con protocolo,,"6/28/2020, 3:06:16 PM"
Hombre,Entre 46 y 55 años,Otra provincia,Entre Ríos,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",Sonido,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 3:35:02 PM"
Hombre,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 3:59:09 PM"
Hombre,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Changas,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 4:02:52 PM"
Hombre,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 4:21:14 PM"
Hombre,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 4:23:58 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Neuquén ,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",Enfermero ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Entre mi provincia y río negro hay casos activos sobre todo entre neuquen y el alto valle y entre bariloche y el sur de mi provincia,,"6/28/2020, 4:55:48 PM"
Hombre,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 5:20:01 PM"
Hombre,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 5:22:51 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Mendoza,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 5:28:52 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Mendoza,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Soy electricista de obras independiente,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Demasiado riesgoso para provincias sin contagios,,"6/28/2020, 5:31:08 PM"
Hombre,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 5:32:12 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Santa fe,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Nada que decir,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Indispensable,,"6/28/2020, 6:10:25 PM"
