¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Jubilada,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Debe ser con mucha responsabilidad,,"6/28/2020, 5:39:56 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 6:22:02 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",cuido 2 abuelos ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,No hay que permitir que se traslade el virus,,"6/28/2020, 6:54:39 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",Docencia,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 6:55:07 PM"
Mujer,Entre 26 y 35 años,Otra provincia,,La cuarentena ya no es nada necesaria,,La actividad parada en un 80 POR CIENTO,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 7:08:41 PM"
Mujer,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Soy Estudiante en Asistente Gerontologica y Estimulacion Temprana.,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 7:12:10 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Soy niñera y no puedo concurrir,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Si está controlado hay que seguir,,"6/28/2020, 7:33:29 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Ama de casa,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Es importante para reactivar la economia , y el turismo en las provincias , el las que es una de las primera actividades",,"6/28/2020, 7:51:40 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Mendoza ,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Jubilada,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 7:56:58 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 7:57:57 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Personal de salud,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 8:03:53 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Ama de casa,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"Es peligroso, el virus se transmite muy rápido",,"6/28/2020, 8:10:54 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",Trabajadora primer nivel de atención en salud,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 8:17:35 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",Trabajo en una guardería municipal,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 8:26:46 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Simple derecho constitucional. Con las debidas precauciones,,"6/28/2020, 8:32:45 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",Cuidado de persona,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Con prevención todo es posible y sin miedo,,"6/28/2020, 8:52:28 PM"
Mujer,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 8:59:47 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Ama d casa,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Con el resultado negativo del test q podamos irnos,,"6/28/2020, 9:07:08 PM"
Mujer,Más de 66 años,Otra provincia,Entre.Rios.,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Ama.de.casa.,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Tiene mucho.que ver.,,"6/28/2020, 9:34:23 PM"
