¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Hombre,Entre 26 y 35 años,Otra provincia,Córdoba,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",Trabajo de changas y está cuarentena me huso perder mucho dinero,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Deberíamos a poder ir adónde se nos canté,,"6/28/2020, 10:45:09 PM"
Prefiero no contestar,Entre 46 y 55 años,Otra provincia,Rio negro,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:46:43 PM"
Hombre,Entre 36 y 45 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:50:30 PM"
Hombre,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:50:40 PM"
Hombre,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:52:00 PM"
Hombre,Entre 36 y 45 años,Otra provincia,Corrientes,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Para poder trabajar necesito viajar y no puedo hacerlo porque no hay micros. ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Creo que después de 100 días de cuarentena, ya debería estar habilitada la circulación en micros de larga distancia así como en auto, sobre todo entre provincias que ya alcanzaron la fase 5, o entre ciudades o localidades también en fase 5.  Sólo no estaría de acuerdo en el contacto de provincias de fase 5 con otras que están en una fase inferior. No me parece justo que en donde hicimos las cosas bien debamos seguir esperando que habrán las provincias o que habiliten los micros de larga distancia por culpa de una sola provincia que hicieron todo mal.",,"6/28/2020, 10:53:43 PM"
Hombre,Entre 36 y 45 años,Otra provincia,San juan,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",Soy instalador sanitarista y gasista matriculado.,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"Deberia tomarse en cuenta que si hay localidades limitrofes donde no hay circulacion del virus y que sean de provincias distintas, tranquilamente podrian circular las personas en esas localidades y a tambien ir a las ciudades capitales donde el virus este manejado",,"6/28/2020, 10:53:49 PM"
Hombre,Entre 26 y 35 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:59:52 PM"
Hombre,Entre 46 y 55 años,Otra provincia,Neuquén,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Desempleado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Con controles está bien,,"6/28/2020, 11:16:06 PM"
Hombre,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",empleado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 11:22:43 PM"
Hombre,Entre 36 y 45 años,Otra provincia,Santa fe,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Trabajo en salud,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Si circulamos circula el virus,,"6/30/2020, 6:55:26 PM"
Hombre,Entre 26 y 35 años,Otra provincia,Santa fe,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 7:05:47 PM"
Hombre,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 7:07:52 PM"
Hombre,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",soy trabajador independiente y no pudo trabajar y no puedo cobrar la ayuda del Gobierno,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,que puede hacerse y con mucha cuidados ,,"6/30/2020, 7:48:39 PM"
Hombre,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",Transportista,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 7:48:58 PM"
Hombre,Entre 36 y 45 años,Otra provincia,Neuquén ,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",taller de autos - régimen por turnos,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"para evitar contagios en lugares donde no hay casos, el sistema de salud es deficiente ",,"6/30/2020, 8:02:59 PM"
